product_id,sku,product_name,category,manufacturer,unit_cost,list_price
1,SKU-ENTE-00001,TITAN_SYSTEMS Enterprise Server Gen-2,ENTERPRISE_SERVER,TITAN_SYSTEMS,542.29,876.68
2,SKU-CLOU-00002,APEX_HARDWARE Cloud Storage Gen-3,CLOUD_STORAGE,APEX_HARDWARE,339.51,557.78
3,SKU-NETW-00003,VORTEX_SILICON Networking Switch Gen-4,NETWORKING_SWITCH,VORTEX_SILICON,178.38,314.34
4,SKU-AI_A-00004,QUANTUM_OPTICS Ai Accelerator Gen-5,AI_ACCELERATOR,QUANTUM_OPTICS,353.88,617.45
5,SKU-SECU-00005,NEXUS_CHIPS Security Gateway Gen-6,SECURITY_GATEWAY,NEXUS_CHIPS,786.99,1183.49
6,SKU-ENTE-00006,TITAN_SYSTEMS Enterprise Server Gen-7,ENTERPRISE_SERVER,TITAN_SYSTEMS,843.76,1225.54
7,SKU-CLOU-00007,APEX_HARDWARE Cloud Storage Gen-1,CLOUD_STORAGE,APEX_HARDWARE,573.3,1035.47
8,SKU-NETW-00008,VORTEX_SILICON Networking Switch Gen-2,NETWORKING_SWITCH,VORTEX_SILICON,132.98,234.07
9,SKU-AI_A-00009,QUANTUM_OPTICS Ai Accelerator Gen-3,AI_ACCELERATOR,QUANTUM_OPTICS,365.98,506.03
10,SKU-SECU-00010,NEXUS_CHIPS Security Gateway Gen-4,SECURITY_GATEWAY,NEXUS_CHIPS,607.86,926.41
11,SKU-ENTE-00011,TITAN_SYSTEMS Enterprise Server Gen-5,ENTERPRISE_SERVER,TITAN_SYSTEMS,369.89,647.61
12,SKU-CLOU-00012,APEX_HARDWARE Cloud Storage Gen-6,CLOUD_STORAGE,APEX_HARDWARE,689.05,1158.9
13,SKU-NETW-00013,VORTEX_SILICON Networking Switch Gen-7,NETWORKING_SWITCH,VORTEX_SILICON,715.17,1178.05
14,SKU-AI_A-00014,QUANTUM_OPTICS Ai Accelerator Gen-1,AI_ACCELERATOR,QUANTUM_OPTICS,416.05,760.86
15,SKU-SECU-00015,NEXUS_CHIPS Security Gateway Gen-2,SECURITY_GATEWAY,NEXUS_CHIPS,685.55,1033.03
16,SKU-ENTE-00016,TITAN_SYSTEMS Enterprise Server Gen-3,ENTERPRISE_SERVER,TITAN_SYSTEMS,600.89,1086.14
17,SKU-CLOU-00017,APEX_HARDWARE Cloud Storage Gen-4,CLOUD_STORAGE,APEX_HARDWARE,413.01,612.26
18,SKU-NETW-00018,VORTEX_SILICON Networking Switch Gen-5,NETWORKING_SWITCH,VORTEX_SILICON,206.79,286.13
19,SKU-AI_A-00019,QUANTUM_OPTICS Ai Accelerator Gen-6,AI_ACCELERATOR,QUANTUM_OPTICS,467.98,776.54
20,SKU-SECU-00020,NEXUS_CHIPS Security Gateway Gen-7,SECURITY_GATEWAY,NEXUS_CHIPS,509.72,699.31
21,SKU-ENTE-00021,TITAN_SYSTEMS Enterprise Server Gen-1,ENTERPRISE_SERVER,TITAN_SYSTEMS,373.01,625.34
22,SKU-CLOU-00022,APEX_HARDWARE Cloud Storage Gen-2,CLOUD_STORAGE,APEX_HARDWARE,543.9,917.99
23,SKU-NETW-00023,VORTEX_SILICON Networking Switch Gen-3,NETWORKING_SWITCH,VORTEX_SILICON,556.17,805.62
24,SKU-AI_A-00024,QUANTUM_OPTICS Ai Accelerator Gen-4,AI_ACCELERATOR,QUANTUM_OPTICS,274.37,432.45
25,SKU-SECU-00025,NEXUS_CHIPS Security Gateway Gen-5,SECURITY_GATEWAY,NEXUS_CHIPS,782.81,1369.23
26,SKU-ENTE-00026,TITAN_SYSTEMS Enterprise Server Gen-6,ENTERPRISE_SERVER,TITAN_SYSTEMS,298.0,520.82
27,SKU-CLOU-00027,APEX_HARDWARE Cloud Storage Gen-7,CLOUD_STORAGE,APEX_HARDWARE,536.69,840.5
28,SKU-NETW-00028,VORTEX_SILICON Networking Switch Gen-1,NETWORKING_SWITCH,VORTEX_SILICON,681.29,1106.96
29,SKU-AI_A-00029,QUANTUM_OPTICS Ai Accelerator Gen-2,AI_ACCELERATOR,QUANTUM_OPTICS,669.68,1090.04
30,SKU-SECU-00030,NEXUS_CHIPS Security Gateway Gen-3,SECURITY_GATEWAY,NEXUS_CHIPS,564.83,1002.13
31,SKU-ENTE-00031,TITAN_SYSTEMS Enterprise Server Gen-4,ENTERPRISE_SERVER,TITAN_SYSTEMS,216.99,398.66
32,SKU-CLOU-00032,APEX_HARDWARE Cloud Storage Gen-5,CLOUD_STORAGE,APEX_HARDWARE,470.91,760.15
33,SKU-NETW-00033,VORTEX_SILICON Networking Switch Gen-6,NETWORKING_SWITCH,VORTEX_SILICON,669.13,920.2
34,SKU-AI_A-00034,QUANTUM_OPTICS Ai Accelerator Gen-7,AI_ACCELERATOR,QUANTUM_OPTICS,443.2,761.53
35,SKU-SECU-00035,NEXUS_CHIPS Security Gateway Gen-1,SECURITY_GATEWAY,NEXUS_CHIPS,411.42,740.31
36,SKU-ENTE-00036,TITAN_SYSTEMS Enterprise Server Gen-2,ENTERPRISE_SERVER,TITAN_SYSTEMS,693.02,1104.53
37,SKU-CLOU-00037,APEX_HARDWARE Cloud Storage Gen-3,CLOUD_STORAGE,APEX_HARDWARE,650.51,1115.26
38,SKU-NETW-00038,VORTEX_SILICON Networking Switch Gen-4,NETWORKING_SWITCH,VORTEX_SILICON,328.85,535.76
39,SKU-AI_A-00039,QUANTUM_OPTICS Ai Accelerator Gen-5,AI_ACCELERATOR,QUANTUM_OPTICS,503.03,743.8
40,SKU-SECU-00040,NEXUS_CHIPS Security Gateway Gen-6,SECURITY_GATEWAY,NEXUS_CHIPS,98.76,139.77
41,SKU-ENTE-00041,TITAN_SYSTEMS Enterprise Server Gen-7,ENTERPRISE_SERVER,TITAN_SYSTEMS,92.41,132.61
42,SKU-CLOU-00042,APEX_HARDWARE Cloud Storage Gen-1,CLOUD_STORAGE,APEX_HARDWARE,705.08,1019.5
43,SKU-NETW-00043,VORTEX_SILICON Networking Switch Gen-2,NETWORKING_SWITCH,VORTEX_SILICON,811.9,1434.43
44,SKU-AI_A-00044,QUANTUM_OPTICS Ai Accelerator Gen-3,AI_ACCELERATOR,QUANTUM_OPTICS,751.45,1222.81
