account_id,company_name,industry,pricing_tier,billing_cycle,signup_date
1001,Nova Technologies 1001,EDTECH,STARTUP,ANNUAL,2025-01-18
1002,Nova Labs 1002,CYBERSECURITY,STARTUP,ANNUAL,2025-01-12
1003,Nexus Cloud 1003,CYBERSECURITY,SCALE,ANNUAL,2025-04-02
1004,Synapse Systems 1004,HEALTHCARE,STARTUP,MONTHLY,2025-04-14
1005,Acme Analytics 1005,EDTECH,STARTUP,MONTHLY,2025-01-20
1006,Nexus Networks 1006,FINTECH,FREE,ANNUAL,2025-02-15
1007,Pulse Solutions 1007,FINTECH,SCALE,ANNUAL,2025-04-29
1008,Stratum Labs 1008,CYBERSECURITY,STARTUP,MONTHLY,2025-03-15
1009,Nexus Labs 1009,FINTECH,SCALE,MONTHLY,2025-01-11
1010,Nexus Labs 1010,LOGISTICS,STARTUP,MONTHLY,2025-01-21
1011,Pulse Networks 1011,HEALTHCARE,SCALE,ANNUAL,2025-03-19
1012,Apex Cloud 1012,HEALTHCARE,STARTUP,MONTHLY,2025-04-29
1013,Synapse Cloud 1013,EDTECH,STARTUP,ANNUAL,2025-01-30
1014,Acme Networks 1014,LOGISTICS,STARTUP,ANNUAL,2025-04-27
1015,Omni Networks 1015,HEALTHCARE,SCALE,MONTHLY,2025-04-24
1016,Hyper Analytics 1016,ECOMMERCE,FREE,MONTHLY,2025-04-06
1017,Omni Systems 1017,CYBERSECURITY,STARTUP,ANNUAL,2025-01-18
1018,Synapse AI 1018,FINTECH,SCALE,ANNUAL,2025-01-20
1019,Apex Systems 1019,CYBERSECURITY,FREE,MONTHLY,2025-03-18
1020,Hyper Solutions 1020,CYBERSECURITY,ENTERPRISE,ANNUAL,2025-03-29
1021,Nova Solutions 1021,EDTECH,STARTUP,MONTHLY,2025-02-25
1022,Apex AI 1022,FINTECH,ENTERPRISE,MONTHLY,2025-03-06
1023,Apex Labs 1023,EDTECH,STARTUP,ANNUAL,2025-01-20
1024,Pulse Analytics 1024,CYBERSECURITY,ENTERPRISE,ANNUAL,2025-03-18
1025,Pulse AI 1025,FINTECH,FREE,MONTHLY,2025-04-23
1026,Vertex Cloud 1026,FINTECH,STARTUP,ANNUAL,2025-01-11
1027,Hyper Labs 1027,CYBERSECURITY,SCALE,ANNUAL,2025-03-26
1028,Hyper Analytics 1028,ECOMMERCE,STARTUP,MONTHLY,2025-01-28
1029,Synapse Cloud 1029,EDTECH,STARTUP,MONTHLY,2025-02-26
1030,Synapse AI 1030,FINTECH,STARTUP,ANNUAL,2025-02-13
1031,Acme Cloud 1031,CYBERSECURITY,STARTUP,ANNUAL,2025-04-01
1032,Acme Cloud 1032,FINTECH,ENTERPRISE,MONTHLY,2025-01-10
1033,Synapse Cloud 1033,ECOMMERCE,SCALE,ANNUAL,2025-03-11
1034,Apex AI 1034,HEALTHCARE,SCALE,MONTHLY,2025-01-25
1035,Nova Labs 1035,EDTECH,STARTUP,MONTHLY,2025-02-22
1036,Hyper Technologies 1036,EDTECH,SCALE,ANNUAL,2025-01-08
1037,Stratum Networks 1037,FINTECH,STARTUP,ANNUAL,2025-03-10
1038,Hyper Analytics 1038,LOGISTICS,FREE,MONTHLY,2025-02-01
1039,Nova AI 1039,CYBERSECURITY,FREE,ANNUAL,2025-01-12
1040,Nexus Analytics 1040,LOGISTICS,STARTUP,ANNUAL,2025-04-21
1041,Stratum Technologies 1041,HEALTHCARE,STARTUP,MONTHLY,2025-02-03
1042,Hyper Solutions 1042,LOGISTICS,SCALE,MONTHLY,2025-01-20
1043,Nexus Solutions 1043,HEALTHCARE,ENTERPRISE,ANNUAL,2025-04-06
1044,Pulse Technologies 1044,FINTECH,STARTUP,ANNUAL,2025-01-08
1045,Synapse Labs 1045,HEALTHCARE,FREE,ANNUAL,2025-03-28
1046,Nexus Systems 1046,FINTECH,ENTERPRISE,ANNUAL,2025-03-16
1047,Omni Technologies 1047,CYBERSECURITY,FREE,MONTHLY,2025-04-30
1048,Vertex Cloud 1048,EDTECH,SCALE,ANNUAL,2025-02-03
1049,Stratum Analytics 1049,EDTECH,SCALE,MONTHLY,2025-02-10
1050,Nova Technologies 1050,LOGISTICS,SCALE,ANNUAL,2025-01-10
1051,Synapse Cloud 1051,CYBERSECURITY,STARTUP,MONTHLY,2025-04-23
1052,Nova Cloud 1052,ECOMMERCE,STARTUP,MONTHLY,2025-04-17
1053,Synapse Solutions 1053,CYBERSECURITY,ENTERPRISE,ANNUAL,2025-03-27
1054,Synapse Solutions 1054,EDTECH,FREE,ANNUAL,2025-02-03
1055,Nova Labs 1055,EDTECH,STARTUP,MONTHLY,2025-02-06
1056,Omni Cloud 1056,EDTECH,STARTUP,MONTHLY,2025-03-06
1057,Hyper Solutions 1057,FINTECH,FREE,MONTHLY,2025-04-17
